Instance;Repetition;Algorithm;Fitness;Real_Time
"N-stabu74";4;"PLEDA";537916.000;689.019
"N-t70d11xx";20;"PLEDA";373402.000;258.297
"N-t70f11xx";9;"PLEDA";357320.000;251.179
"N-t70u11xx";1;"PLEDA";21582700.000;117.134
"N-t70d11xxb";4;"PLEDA";365695.000;258.879
"N-stabu75";3;"PLEDA";546620.000;687.294
"N-stabu74";6;"PLEDA";533074.000;689.035
"N-t70d11xxb";19;"PLEDA";365214.000;257.196
"N-stabu75";6;"PLEDA";546129.000;689.452
"N-stabu75";5;"PLEDA";545536.000;689.170
"N-stabu74";16;"PLEDA";535770.000;687.312
"N-stabu74";11;"PLEDA";536462.000;687.931
"N-stabu70";20;"PLEDA";356051.000;694.277
"N-stabu74";12;"PLEDA";535322.000;689.280
"N-stabu74";8;"PLEDA";531348.000;683.708
"N-stabu74";10;"PLEDA";537721.000;686.880
"N-stabu74";18;"PLEDA";535060.000;688.623
"N-t70u11xx";4;"PLEDA";21504600.000;117.685
"N-stabu74";9;"PLEDA";536606.000;686.950
"N-stabu75";9;"PLEDA";544957.000;689.672
"N-stabu74";5;"PLEDA";535069.000;690.016
"N-stabu74";2;"PLEDA";537094.000;688.520
"N-stabu74";19;"PLEDA";534180.000;692.169
"N-stabu75";13;"PLEDA";546446.000;687.311
"N-t70i11xx";5;"PLEDA";24736216.000;249.470
"N-t70k11xx";5;"PLEDA";60504600.000;197.086
"N-stabu74";17;"PLEDA";537648.000;686.523
"N-stabu74";13;"PLEDA";532737.000;689.977
"N-t70k11xx";8;"PLEDA";60468300.000;200.684
"N-t70i11xx";14;"PLEDA";24729648.000;244.978
"N-stabu75";8;"PLEDA";546141.000;687.372
"N-stabu75";4;"PLEDA";547472.000;690.581
"N-t70i11xx";15;"PLEDA";24650510.000;225.931
"N-stabu74";14;"PLEDA";534342.000;689.346
"N-t70k11xx";17;"PLEDA";60406900.000;190.153
"N-stabu74";15;"PLEDA";535941.000;687.198
"N-t70l11xx";3;"PLEDA";25241.000;183.416
"N-stabu74";20;"PLEDA";532587.000;688.387
"N-t70k11xx";9;"PLEDA";60342700.000;198.303
"N-t70k11xx";12;"PLEDA";60605900.000;198.165
"N-stabu75";11;"PLEDA";545326.000;690.297
"N-stabu75";2;"PLEDA";544866.000;689.952
