Instance;Repetition;Algorithm;Fitness;Real_Time
N-t65n11xx;16;Gradient_100_0.1_superlinear;32074;9.70632
N-t70f11xx;4;Gradient_100_0.1_superlinear;358215;9.92584
N-t70b11xx;14;Gradient_100_0.1_superlinear;526580;10.0711
N-t65n11xx;7;Gradient_100_0.1_superlinear;32082;7.85408
N-t69r11xx;11;Gradient_100_0.1_superlinear;767788;9.81043
N-t70d11xxb;20;Gradient_100_0.1_superlinear;365374;10.1431
N-t70b11xx;12;Gradient_100_0.1_superlinear;527423;9.90553
N-t70f11xx;7;Gradient_100_0.1_superlinear;358142;9.81695
N-t69r11xx;14;Gradient_100_0.1_superlinear;767605;9.30908
N-t65l11xx;9;Gradient_100_0.1_superlinear;16671;9.74576
N-t65n11xx;20;Gradient_100_0.1_superlinear;32082;9.63873
N-t70d11xxb;13;Gradient_100_0.1_superlinear;365692;10.1342
N-t70d11xxb;1;Gradient_100_0.1_superlinear;365680;10.0439
N-t65w11xx;2;Gradient_100_0.1_superlinear;137669306;8.17371
N-t70d11xx;6;Gradient_100_0.1_superlinear;374349;10.1068
